Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,variety
SRR7279491,WGS,298,10672975469,PRJNA454805,SAMN09229593,Plant,4641636598,COMAV-UPV,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX4183300,Ecuador,South America,"Ecuador: Zamora\, Timbara",NextSeq 500,BGV005895,Esther120315_BGV005895,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:07:00Z,1,BGV005895,SRP150040,leaf,cerasiforme
SRR7279492,WGS,299,15001229963,PRJNA454805,SAMN09229592,Plant,6503953428,COMAV-UPV,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183299,Colombia,South America,Colombia,NextSeq 500,BGV004584,Esther120315_BGV004584,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T04:24:00Z,1,BGV004584,SRP150040,leaf,cerasiforme
SRR7279493,WGS,299,25008958989,PRJNA454805,SAMN09229704,Plant,11163934337,COMAV-UPV,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183298,Peru,South America,"Peru: Lamas\, Pinto Recodo",NextSeq 500,BGV008096,Esther052516_BGV008096,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T04:17:00Z,1,BGV008096,SRP150040,leaf,cerasiforme
SRR7279494,WGS,300,8396214925,PRJNA454805,SAMN09229756,Plant,3563956979,COMAV-UPV,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183297,USA,North America,USA,NextSeq 500,Tegucigalpa,Esther020916_Tegucigalpa,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:26:00Z,1,Tegucigalpa,SRP150040,leaf,
SRR7279495,WGS,300,10590611847,PRJNA454805,SAMN09229744,Plant,4495228917,COMAV-UPV,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183296,Peru,South America,"Peru: Lamas\, Alonso Alvarado",NextSeq 500,BGV015727,Esther020916_BGV015727,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:13:00Z,1,BGV015727,SRP150040,leaf,cerasiforme
SRR7279496,WGS,300,11983755688,PRJNA454805,SAMN09229739,Plant,5088706604,COMAV-UPV,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183295,Peru,South America,Peru: San Martin,NextSeq 500,BGV014519,Esther020916_BGV014519,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:16:00Z,1,BGV014519,SRP150040,leaf,cerasiforme
SRR7279497,WGS,300,9914674897,PRJNA454805,SAMN09229745,Plant,4208978251,COMAV-UPV,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX4183294,Peru,South America,"Peru: Lamas\, Alonso de Alvarado",NextSeq 500,BGV015730,Esther020916_BGV015730,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:17:00Z,1,BGV015730,SRP150040,leaf,cerasiforme
SRR7279498,WGS,299,5526983951,PRJNA454805,SAMN09229743,Plant,2352995505,COMAV-UPV,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183293,Peru,South America,"Peru: San Martin\, La Banda de Shilcayo",NextSeq 500,BGV015726,Esther020916_BGV015726,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:02:00Z,1,BGV015726,SRP150040,leaf,cerasiforme
SRR7279499,WGS,300,6819756386,PRJNA454805,SAMN09229753,Plant,2902527581,COMAV-UPV,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX4183292,Colombia,South America,Colombia: From the market at Armenia,NextSeq 500,PI 129088,Esther020916_PI 129088,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:11:00Z,1,PI 129088,SRP150040,leaf,cerasiforme
SRR7279500,WGS,300,8588442263,PRJNA454805,SAMN09229752,Plant,3644435102,COMAV-UPV,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183291,Ecuador,South America,Ecuador: From the market at Guayaquil,NextSeq 500,PI 129033,Esther020916_PI 129033,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:23:00Z,1,PI 129033,SRP150040,leaf,cerasiforme
SRR7279501,WGS,299,4101048758,PRJNA454805,SAMN09229757,Plant,1741198379,COMAV-UPV,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX4183290,USA,North America,USA,NextSeq 500,Voyage,Esther020916_Voyage,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:59:00Z,1,Voyage,SRP150040,leaf,
SRR7279502,WGS,299,11932317035,PRJNA454805,SAMN09229748,Plant,5170438603,COMAV-UPV,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX4183289,Guatemala,North America,"Guatemala: Quetzaltenango\, Quetzaltenango",NextSeq 500,LA0767,Esther020916_LA0767,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:05:00Z,1,LA0767,SRP150040,leaf,
SRR7279503,WGS,299,11045331467,PRJNA454805,SAMN09229747,Plant,4824313428,COMAV-UPV,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183288,Peru,South America,Peru: Cajamarca,NextSeq 500,BGV016047,Esther020916_BGV016047,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:38:00Z,1,BGV016047,SRP150040,leaf,
SRR7279504,WGS,299,11679549026,PRJNA454805,SAMN09229609,Plant,5534741135,COMAV-UPV,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX4183287,Peru,South America,"Peru: Lambayeque\, Olmos",NextSeq 500,BGV006363,Esther122615_130921_1-27396376_BGV006363,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:09:00Z,1,BGV006363,SRP150040,leaf,
SRR7279505,WGS,299,27851692730,PRJNA454805,SAMN09229613,Plant,13173850477,COMAV-UPV,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX4183286,Peru,South America,"Peru: Lambayeque\, Motupe",NextSeq 500,BGV006478,Esther122615_130921_1-27396376_BGV006478,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:51:00Z,1,BGV006478,SRP150040,leaf,
SRR7279506,WGS,299,22068549579,PRJNA454805,SAMN09229612,Plant,10412903745,COMAV-UPV,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183285,Peru,South America,"Peru: Morropon\, La Matanza",NextSeq 500,BGV006457,Esther122615_130921_1-27396376_BGV006457,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T05:27:00Z,1,BGV006457,SRP150040,leaf,
SRR7279507,WGS,298,6785426487,PRJNA454805,SAMN09229605,Plant,3185802255,COMAV-UPV,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183284,Peru,South America,"Peru: Piura\, Tambo Grande",NextSeq 500,BGV006327,Esther122615_130921_1-27396376_BGV006327,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:54:00Z,1,BGV006327,SRP150040,leaf,
SRR7279508,WGS,298,12023832195,PRJNA454805,SAMN09229598,Plant,5226814308,COMAV-UPV,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183283,Ecuador,South America,"Ecuador: Morona\, Indanza",NextSeq 500,BGV006225,Esther120315_BGV006225,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:22:00Z,1,BGV006225,SRP150040,leaf,cerasiforme
SRR7279509,WGS,298,13821323421,PRJNA454805,SAMN09229596,Plant,6005084612,COMAV-UPV,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183282,Ecuador,South America,"Ecuador: Atahualpa\, Ayapamba",NextSeq 500,BGV006175,Esther120315_BGV006175,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:14:00Z,1,BGV006175,SRP150040,leaf,cerasiforme
SRR7279510,WGS,299,10369257127,PRJNA454805,SAMN09229601,Plant,4487263336,COMAV-UPV,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183281,Ecuador,South America,"Ecuador: Morona\, sucua",NextSeq 500,BGV006231,Esther120315_BGV006231,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:08:00Z,1,BGV006231,SRP150040,leaf,cerasiforme
SRR7279511,WGS,298,17077718849,PRJNA454805,SAMN09229600,Plant,7395957155,COMAV-UPV,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183280,Ecuador,South America,"Ecuador: Morona\, Indanza",NextSeq 500,BGV006230,Esther120315_BGV006230,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:22:00Z,1,BGV006230,SRP150040,leaf,cerasiforme
SRR7279512,WGS,299,17754346033,PRJNA454805,SAMN09229615,Plant,8360093033,COMAV-UPV,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183279,Ecuador,South America,"Ecuador: Tena\, Tena",NextSeq 500,BGV006767,Esther122615_130921_1-27396376_BGV006767,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:38:00Z,1,BGV006767,SRP150040,leaf,cerasiforme
SRR7279513,WGS,299,16068594984,PRJNA454805,SAMN09229614,Plant,7711234982,COMAV-UPV,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX4183278,Ecuador,South America,"Ecuador: Archidona\, Archidona",NextSeq 500,BGV006753,Esther122615_130921_1-27396376_BGV006753,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:33:00Z,1,BGV006753,SRP150040,leaf,cerasiforme
SRR7279514,WGS,299,19460019561,PRJNA454805,SAMN09229697,Plant,9065919242,COMAV-UPV,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX4183277,Mexico,North America,"Mexico: Calakmul\, Ruinas de Becan",NextSeq 500,BGV008058,Esther052516_BGV008058,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:43:00Z,1,BGV008058,SRP150040,leaf,cerasiforme
SRR7279515,WGS,298,12405149770,PRJNA454805,SAMN09229757,Plant,5325113108,COMAV-UPV,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183276,USA,North America,USA,NextSeq 500,Voyage,Esther052516_Voyage,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:37:00Z,1,Voyage,SRP150040,leaf,
SRR7279516,WGS,299,11380627802,PRJNA454805,SAMN09229607,Plant,5379734397,COMAV-UPV,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183275,Peru,South America,"Peru: Morropon\, La Matanza",NextSeq 500,BGV006347,Esther122615_130921_1-27396376_BGV006347,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:41:00Z,1,BGV006347,SRP150040,leaf,
SRR7279517,WGS,300,11290694204,PRJNA454805,SAMN09229749,Plant,4789365546,COMAV-UPV,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183274,Costa Rica,North America,"Costa Rica: San Jose\, Perez Zeledon\, Pejibaye",NextSeq 500,LA1712,Esther020916_LA1712,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:31:00Z,1,LA1712,SRP150040,leaf,cerasiforme
SRR7279518,WGS,299,16188689348,PRJNA454805,SAMN09229751,Plant,6897404459,COMAV-UPV,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX4183273,Ecuador,South America,Ecuador: From the market at Guayaquil,NextSeq 500,PI 129026,Esther020916_PI 129026,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T04:03:00Z,1,PI 129026,SRP150040,leaf,cerasiforme
SRR7279519,WGS,299,11047500023,PRJNA454805,SAMN09229740,Plant,4815898137,COMAV-UPV,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX4183272,Peru,South America,Peru: San Martin,NextSeq 500,BGV014522,Esther020916_BGV014522,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:16:00Z,1,BGV014522,SRP150040,leaf,cerasiforme
SRR7279520,WGS,300,5108283938,PRJNA454805,SAMN09229754,Plant,2166515755,COMAV-UPV,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX4183271,Honduras,North America,"Honduras: Collected toward El Paraiso\, 1 km from Danli.",NextSeq 500,PI 406890,Esther020916_PI 406890,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:16:00Z,1,PI 406890,SRP150040,leaf,cerasiforme
SRR7279521,WGS,300,13666955868,PRJNA454805,SAMN09229718,Plant,5806761379,COMAV-UPV,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183270,Honduras,North America,Honduras: Intibuca,NextSeq 500,BGV008347,Esther020916_BGV008347,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:13:00Z,1,BGV008347,SRP150040,leaf,cerasiforme
SRR7279522,WGS,300,4567777375,PRJNA454805,SAMN09229679,Plant,2085792691,COMAV-UPV,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183269,Mexico,North America,"Mexico: Landa de Matamoros\, Rio Verdito",NextSeq 500,BGV007918,Esther012116_BGV007918,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:56:00Z,1,BGV007918,SRP150040,leaf,cerasiforme
SRR7279523,WGS,300,13523835770,PRJNA454805,SAMN09229750,Plant,5756942663,COMAV-UPV,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183268,Peru,South America,"Peru: San Martin\, 36 km from Tarapoto\, in garden behind a salt cleaning plant\, Puerto Santa Cruz",NextSeq 500,LA2309,Esther020916_LA2309,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:12:00Z,1,LA2309,SRP150040,leaf,cerasiforme
SRR7279524,WGS,299,12112319946,PRJNA454805,SAMN09229746,Plant,5136126523,COMAV-UPV,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183267,Peru,South America,"Peru: Lamas\, Rumisapa",NextSeq 500,BGV015734,Esther020916_BGV015734,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:36:00Z,1,BGV015734,SRP150040,leaf,cerasiforme
SRR7279525,WGS,299,11854106261,PRJNA454805,SAMN09229738,Plant,5032256464,COMAV-UPV,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX4183266,Peru,South America,Peru: San Martin,NextSeq 500,BGV014518,Esther020916_BGV014518,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:08:00Z,1,BGV014518,SRP150040,leaf,cerasiforme
SRR7279526,WGS,300,9366332772,PRJNA454805,SAMN09229755,Plant,4050694073,COMAV-UPV,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183265,Costa Rica,North America,Costa Rica: From Los Diamantes,NextSeq 500,PI 487625,Esther020916_PI 487625,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:20:00Z,1,PI 487625,SRP150040,leaf,cerasiforme
SRR7279527,WGS,300,5518281600,PRJNA454805,SAMN09229698,Plant,3584350493,COMAV-UPV,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183264,Mexico,North America,"Mexico: Jalapa\, Jalapa",NextSeq 500,BGV008061,Esther_2015_10_06_BGV008061_1,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:38:00Z,1,BGV008061,SRP150040,leaf,cerasiforme
SRR7279528,WGS,300,5530542000,PRJNA454805,SAMN09229696,Plant,3597483962,COMAV-UPV,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183263,Mexico,North America,Mexico: General Teran,NextSeq 500,BGV008051,Esther_2015_10_06_BGV008051_1,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:55:00Z,1,BGV008051,SRP150040,leaf,cerasiforme
SRR7279529,WGS,300,3030156000,PRJNA454805,SAMN09229697,Plant,2002065001,COMAV-UPV,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183262,Mexico,North America,"Mexico: Calakmul\, Ruinas de Becan",NextSeq 500,BGV008058,Esther_2015_10_06_BGV008058_1,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:53:00Z,1,BGV008058,SRP150040,leaf,cerasiforme
SRR7279530,WGS,300,5024058600,PRJNA454805,SAMN09229693,Plant,3284384188,COMAV-UPV,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX4183261,Peru,South America,"Peru: La Mar\, Ayna",NextSeq 500,BGV008037,Esther_2015_10_06_BGV008037_2,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:54:00Z,1,BGV008037,SRP150040,leaf,cerasiforme
SRR7279531,WGS,300,4085285100,PRJNA454805,SAMN09229699,Plant,2165933293,COMAV-UPV,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183260,Peru,South America,"Peru: San Martin\, La Banda de Shilcayo",NextSeq 500,BGV008065,Esther3250_2015_10_12_BGV008065,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:55:00Z,1,BGV008065,SRP150040,leaf,cerasiforme
